数据库：年度数据
时间：1900-2015
指标,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年,1994年,1993年,1992年,1991年,1990年,1989年,1988年,1987年,1986年,1985年,1984年,1983年,1982年,1981年,1980年,1979年,1978年,1977年,1976年,1975年,1974年,1973年,1972年,1971年,1970年,1969年,1968年,1967年,1966年,1965年,1964年,1963年,1962年,1961年,1960年,1959年,1958年,1957年,1956年,1955年,1954年,1953年,1952年,1951年,1950年,1949年
国民总收入(亿元),634043.4,583196.7,532872.1,479576.1,407137.8,345046.4,318736.7,268631.0,217246.6,184575.8,160289.7,135718.9,119765.0,108683.4,98562.2,88989.8,83505.7,78517.3,70538.3,60146.5,48370.3,35450.4,27082.0,21940.2,18824.8,17098.9,15095.1,12094.2,10308.0,9064.6,7262.0,5998.5,5340.2,4896.0,4551.6,4067.7,3650.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
国内生产总值(亿元),635910.0,588018.8,534123.0,484123.5,408903.0,345629.2,316751.7,268019.4,217656.6,185895.8,160714.4,136564.6,121002.0,110270.4,99776.3,90187.7,84883.7,79429.5,71572.3,61129.8,48459.6,35524.3,27068.3,21895.5,18774.3,17090.3,15101.1,12102.2,10308.8,9039.9,7226.3,5975.6,5333.0,4898.1,4551.6,4067.7,3650.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第一产业增加值(亿元),58336.1,55321.7,50892.7,46153.3,39354.6,34154.0,32747.0,27783.0,23313.0,21803.5,20901.8,16968.3,16188.6,15501.2,14716.2,14548.1,14618.0,14264.6,13877.8,12020.0,9471.4,6887.3,5800.0,5288.6,5017.0,4228.0,3831.0,3204.3,2763.9,2541.6,2295.5,1960.8,1761.6,1545.6,1359.4,1258.9,1018.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第二产业增加值(亿元),271764.5,256810.0,240200.4,223390.3,188804.9,157850.1,148097.9,125145.4,103163.5,87127.3,73529.8,62120.8,53624.4,49262.0,45326.0,40827.6,38808.8,37353.9,33665.8,28536.2,22333.5,16373.0,11640.4,9055.8,7678.0,7240.8,6554.0,5225.3,4469.9,3846.8,3089.7,2632.6,2370.6,2243.7,2180.5,1903.3,1736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第三产业增加值(亿元),305810.0,275887.0,243030.0,214579.9,180743.4,153625.1,135906.9,115090.9,91180.1,76964.9,66282.8,57475.6,51189.0,45507.2,39734.1,34812.0,31456.8,27810.9,24028.7,20573.6,16654.7,12264.1,9627.9,7551.2,6079.3,5621.6,4716.0,3672.6,3074.9,2651.6,1841.1,1382.2,1200.9,1108.8,1011.6,905.4,895.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
人均国内生产总值(元),46629,43320,39544,36018,30567,25963,23912,20337,16602,14259,12400,10600,9450,8670,7902,7199,6835,6457,5878,5074,4066,3015,2324,1903,1654,1528,1371,1116,966,860,697,584,529,493,464,420,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：1.1980年以后国民总收入与国内生产总值的差额为国外净要素收入。
　　　2.三次产业分类依据国家统计局2012年制定的《三次产业划分规定》。第一产业是指农、林、牧、渔业（不含农、林、牧、渔服务业）；第二产业是指采矿业（不含开采辅助活动），制造业（不含金属制品、机械和设备修理业），电力、热力、燃气及水生产和供应业，建筑业；第三产业即服务业，是指除第一产业、第二产业以外的其他行业。
　　　3.按照我国国内生产总值（GDP）数据修订制度和国际通行作法，根据修订后的2013年GDP数据和有关历史资料，对2012年及以前年度的GDP历史数据进行了系统修订。主要包括以下三个方面：一是因国民经济行业分类标准和三次产业划分标准的修订，对2012年及以前年度的GDP历史数据进行了新旧行业分类和三次产业划分的转换；二是第三次全国经济普查后，因基础统计资料变化，对2009－2012年的GDP历史数据进行了修订；三是因金融业增加值核算方法调整，对2008年及以前年度的金融业增加值进行了修订。
数据来源：国家统计局
