数据库：年度数据
时间：最近20年
指标,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
原煤产量(亿吨),38.74,39.74,39.45,37.64,34.28,31.15,29.03,27.60,25.70,23.65,21.23,18.35,15.50,14.72,13.84,13.64,13.32,,,
原油产量(万吨),21142.92,20991.85,20747.80,20287.55,20301.40,18948.96,19043.96,18631.82,18476.57,18135.29,17587.33,16959.98,16700.00,16395.87,16300.00,16000.00,16100.00,,,
天然气产量(亿立方米),1301.57,1208.58,1106.08,1053.37,957.91,852.69,802.99,692.40,585.53,493.20,414.60,350.15,326.61,303.29,272.00,251.98,232.79,,,
原盐产量(万吨),7049.71,7367.60,6911.78,6742.16,7037.76,6662.79,6664.43,6166.97,5663.13,4661.06,4043.44,3437.70,3602.43,3410.51,3128.00,2812.36,2242.52,,,
精制食用植物油产量(万吨),6534.10,5590.55,5172.97,4331.80,3878.54,3433.43,2419.15,2636.98,2335.23,2070.96,1682.63,1584.29,1531.22,1383.17,835.32,733.79,602.48,,,
成品糖产量(万吨),1642.67,1592.76,1409.47,1187.43,1117.59,1338.35,1432.61,1271.38,949.07,912.37,1033.70,1083.94,926.00,653.10,700.00,861.00,826.00,,,
罐头产量(万吨),1256.32,1163.62,1043.01,1093.41,980.52,811.65,595.29,603.62,513.88,500.32,533.56,436.38,375.17,290.37,178.20,169.09,156.46,,,
啤酒产量(万千升、万吨),4936.29,4982.79,4778.58,4834.50,4490.16,4162.18,4156.91,3954.07,3543.58,3126.05,2948.59,2540.48,2402.70,2288.93,2231.32,2098.77,1987.67,,,
卷烟产量(亿支、万箱),26098.49,25603.86,25160.90,24474.00,23752.60,22901.50,22199.20,21438.84,20218.13,19389.08,18736.35,3580.86,3467.08,3402.10,3397.00,3340.00,3374.00,,,
纱产量(万吨),3379.20,3200.00,2984.00,2717.86,2572.82,2266.45,2055.72,1958.42,1742.96,1450.54,1291.34,983.58,850.00,760.68,657.00,567.00,542.00,,,
布产量(亿米),893.68,897.59,848.94,814.14,800.00,753.42,723.05,675.26,598.55,484.39,482.10,353.52,322.39,290.00,277.00,250.00,241.00,,,
机制纸及纸板产量(万吨),11785.80,11323.06,10956.54,11010.89,9832.63,8965.13,8404.30,7792.43,6863.02,6205.42,5413.27,4849.33,4666.99,3777.07,2486.94,2159.30,2125.63,,,
汽油产量(万吨),11029.85,9834.04,8976.07,8158.06,7676.04,7195.48,6347.54,5989.42,5594.76,5409.22,5277.99,4790.86,4320.76,4154.66,4134.67,3741.27,3465.40,,,
柴油产量(万吨),17635.34,17275.71,17063.81,16676.31,15888.15,14127.00,13323.60,12359.11,11655.54,11079.42,10178.66,8532.78,7706.10,7485.66,7079.62,6302.68,4884.11,,,
焦炭产量(万吨),47980.86,48179.38,43831.45,43433.00,38657.83,35744.05,32313.94,33105.28,30074.36,26511.70,20619.00,17775.71,14279.81,13130.70,12184.02,12073.74,12806.00,,,
硫酸(折100%)产量(万吨),8901.55,8154.49,7876.63,7482.70,7090.47,5960.91,5097.95,5412.56,5033.17,4544.66,3928.89,3371.22,3050.40,2696.32,2427.00,2356.00,2171.00,,,
烧碱(折100%)产量(万吨),3063.51,2927.44,2696.82,2473.52,2228.39,1832.37,1926.01,1759.29,1511.78,1239.98,1041.12,945.27,877.97,787.96,667.88,580.14,539.37,,,
纯碱(碳酸钠)产量(万吨),2525.84,2431.63,2395.93,2294.03,2034.82,1944.77,1854.60,1765.00,1560.03,1421.08,1334.70,1133.56,1033.15,914.37,834.00,766.00,744.00,,,
乙烯产量(万吨),1696.69,1599.31,1486.80,1527.50,1421.34,1072.62,987.58,1027.80,940.51,755.54,629.85,611.77,543.02,480.60,470.00,435.00,377.30,,,
合成氨产量(万吨),5699.50,5739.00,5528.40,5252.70,4964.59,5136.35,4995.15,5171.05,4936.81,4596.25,4135.06,3822.65,3675.25,3427.28,3363.70,3431.72,3134.20,,,
农用氮、磷、钾化肥产量(万吨),6876.85,7026.18,6832.10,6419.39,6337.86,6385.01,6028.05,5824.98,5345.05,5177.86,4804.82,3881.31,3791.00,3383.01,3186.00,3251.00,3010.00,,,
氮肥产量(万吨),4564.24,4832.61,4865.58,4500.97,4458.67,4553.36,4331.18,4233.13,3911.54,3809.03,3357.73,2814.52,2808.48,2527.37,2398.11,2471.96,2225.67,,,
磷肥产量(万吨),1743.01,1673.08,1564.41,1561.22,1532.91,1513.14,1258.86,1339.28,1225.46,1206.20,1246.78,978.08,801.03,752.56,663.03,636.07,666.79,,,
化学农药原药产量(万吨),374.40,303.14,290.88,230.00,223.52,208.92,209.99,176.48,138.46,114.73,82.08,76.72,92.90,78.72,60.70,62.50,55.90,,,
初级形态的塑料产量(万吨),7088.84,6293.03,5330.92,4992.31,4432.59,3629.97,3680.23,3184.54,2602.60,2308.86,2366.50,1652.08,1455.67,1288.71,1087.51,871.10,692.58,,,
合成橡胶产量(万吨),549.55,480.64,397.39,367.13,319.52,274.91,238.29,228.92,199.81,181.12,184.04,134.83,136.21,121.98,86.52,73.28,58.90,,,
合成洗涤剂产量(万吨),1209.73,1094.27,933.80,888.14,752.59,699.66,597.89,582.97,527.68,516.95,465.17,386.79,348.32,330.42,297.47,286.53,280.34,,,
化学药品原药产量(万吨),303.40,263.30,292.19,248.85,226.14,201.22,228.53,205.07,176.55,126.70,103.05,99.42,73.93,76.22,52.57,43.63,41.55,,,
中成药产量(万吨),328.77,272.05,313.04,259.48,215.74,200.80,127.28,112.89,110.98,106.48,146.24,70.91,94.32,65.59,38.80,34.25,34.26,,,
化学纤维产量(万吨),4389.75,4160.28,3837.37,3390.07,3090.00,2747.28,2453.29,2413.78,2073.18,1664.79,1699.80,1181.15,991.20,841.38,694.00,600.00,510.00,,,
橡胶轮胎外胎产量(万条),111913.11,110440.12,89370.49,83566.22,77611.83,65601.56,54614.53,55832.97,43547.08,34390.06,32709.37,19311.96,16306.59,13573.00,12157.87,10969.84,9513.46,,,
水泥产量(万吨),249207.08,241923.89,220984.08,209925.86,188191.17,164397.78,142355.73,136117.25,123676.48,106884.79,96681.99,86208.11,72500.00,66103.99,59700.00,57300.00,53600.00,,,
平板玻璃产量(万重量箱),83128.16,79285.80,75050.50,79107.55,66330.80,58574.07,59890.39,53918.07,46574.70,40210.24,37026.17,27702.60,23445.56,20964.12,18352.20,17419.79,17194.03,,,
生铁产量(万吨),71374.78,71149.88,66354.40,64050.88,59733.34,55283.46,47824.42,47651.63,41245.19,34375.19,26830.99,21366.68,17084.60,15554.25,13101.48,12539.24,11863.67,,,
粗钢产量(万吨),82230.63,81313.89,72388.22,68528.31,63722.99,57218.23,50305.75,48928.80,41914.85,35323.98,28291.09,22233.60,18236.61,15163.44,12850.00,12426.00,11559.00,,,
钢材产量(万吨),112513.12,108200.54,95577.83,88619.57,80276.58,69405.40,60460.29,56560.87,46893.36,37771.14,31975.72,24108.01,19251.59,16067.61,13146.00,12109.78,10737.80,,,
重轨产量(万吨),405.40,428.20,321.50,291.50,433.50,442.07,302.83,179.32,201.70,192.67,172.07,122.46,,,,111.87,114.69,,,
大型型钢产量(万吨),1349.40,1282.61,1134.07,1085.25,946.54,947.10,894.12,1008.11,917.28,752.04,809.46,539.83,,,,115.35,102.90,,,
中小型型钢产量(万吨),5617.43,5723.80,4718.32,4471.91,4116.58,4159.46,2953.81,2929.54,2501.37,2830.73,1365.55,2775.27,,,,,3231.60,,,
棒材产量(万吨),7941.80,7789.95,7451.16,6987.37,6608.86,5575.61,4670.49,4574.38,3694.07,2899.58,2617.65,1867.43,,,,,,,,
钢筋产量(万吨),21553.51,20774.38,17810.18,15573.99,13876.93,12172.54,9708.97,10275.48,8416.80,6912.72,6654.61,4005.44,,,,,,,,
线材产量(万吨),15313.91,15001.38,13659.94,12461.56,10572.67,9604.13,8024.03,7919.02,7207.40,6094.74,5148.51,4070.41,,,,2594.85,2203.06,,,
特厚板产量(万吨),727.00,619.24,537.08,618.04,582.78,474.90,422.80,426.03,324.86,237.40,182.38,166.85,,,,48.37,59.24,,,
厚钢板产量(万吨),2638.50,2499.95,2341.56,2608.15,2350.30,1876.72,2021.04,1803.31,1311.24,1154.75,832.85,617.05,,,,1377.02,,,,
中厚宽钢带产量(万吨),12300.80,12192.53,10870.03,10505.10,10281.96,8385.23,7364.47,6304.12,4524.02,3713.87,3103.66,1502.90,,,,,,,,
热轧薄宽钢带产量(万吨),5296.80,5444.56,5036.01,4256.94,3750.89,3036.91,2035.53,1879.79,557.84,637.55,241.36,253.94,,,,,,,,
冷轧薄宽钢带产量(万吨),4259.60,3977.09,3644.31,3269.51,2934.93,2192.48,1804.47,1747.76,1318.32,969.21,549.60,535.85,,,,,,,,
镀层板产量(万吨),5074.90,4514.46,3776.14,3176.78,2849.22,2016.70,1764.64,1755.44,1374.61,877.88,765.20,336.61,,,,,,,,
十种有色金属产量(万吨),4695.57,4412.13,3696.97,3435.44,3120.98,2648.54,2520.28,2379.15,1916.27,1635.00,1441.12,1228.06,1012.00,883.71,783.81,694.70,615.00,,,
精炼铜产量(万吨),764.37,664.45,575.73,524.02,458.65,413.49,378.93,344.28,300.21,260.68,220.21,183.98,163.25,152.33,137.11,117.40,121.30,,,
原铝(电解铝)产量(万吨),2752.54,2543.81,2314.14,1961.39,1577.13,1288.61,1316.54,1233.97,926.57,778.68,669.04,554.69,432.13,337.14,279.41,259.85,233.57,,,
氧化铝产量(万吨),5239.91,4774.96,3769.89,3417.20,2893.02,2379.29,2278.17,1946.67,1325.69,859.22,697.86,609.39,547.84,474.62,432.17,383.66,333.51,,,
发动机产量(万千瓦),214105.40,193670.93,136111.48,137099.43,138592.03,84802.03,54977.06,56641.90,45267.36,36563.46,31893.56,31851.30,28505.75,20531.17,18857.30,,,,,
金属切削机床产量(万台),85.80,87.55,88.23,88.68,69.73,58.55,71.73,64.69,57.30,51.14,48.72,30.58,30.86,25.58,17.66,14.22,11.91,,,
