数据库：年度数据
时间：1940-2015
指标,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年,1994年,1993年,1992年,1991年,1990年,1989年,1988年,1987年,1986年,1985年,1984年,1983年,1982年,1981年,1980年,1979年,1978年,1977年,1976年,1975年,1974年,1973年,1972年,1971年,1970年,1969年,1968年,1967年,1966年,1965年,1964年,1963年,1962年,1961年,1960年,1959年,1958年,1957年,1956年,1955年,1954年,1953年,1952年,1951年,1950年,1949年
有效灌溉面积(千公顷),64539.53,63473.30,62490.52,61681.56,60347.70,59261.40,58471.68,56518.34,55750.50,55029.34,54478.00,54014.00,54355.00,54249.39,53820.33,53158.00,52296.00,51239.00,50381.00,49281.20,48759.10,48727.90,48590.10,47822.10,47403.10,44917.20,44375.91,44403.00,44225.80,44035.90,44453.00,44644.07,44176.87,44573.80,44888.07,45003.13,44965.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
农用化肥施用折纯量(万吨),5995.94,5911.86,5838.85,5704.24,5561.68,5404.40,5239.02,5107.83,4927.69,4766.22,4636.60,4411.60,4339.39,4253.76,4146.41,4124.30,4084.00,3980.70,3827.90,3593.70,3317.90,3151.90,2930.20,2805.10,2590.30,2357.10,2141.50,1999.30,1930.60,1775.80,1739.80,1659.80,1513.40,1334.90,1269.40,1086.30,884.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
农用氮肥施用折纯量(万吨),2392.86,2394.24,2399.89,2381.42,2353.68,2329.90,2302.88,2297.21,2262.50,2229.29,2221.89,2149.89,2157.31,2164.11,2161.50,2180.94,2233.30,2171.70,2145.30,2021.90,1882.00,1835.10,1756.10,1726.10,1638.40,1536.80,1417.10,1326.80,1312.60,1204.90,1215.30,1163.80,,,934.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
农用磷肥施用折纯量(万吨),845.34,830.61,828.57,819.19,805.64,797.70,780.08,773.02,769.51,743.84,735.96,713.86,712.23,705.73,690.47,697.78,682.50,689.10,658.40,632.40,600.70,575.10,515.70,499.60,462.40,418.90,382.10,371.90,359.80,310.90,328.60,351.40,,,273.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
农用钾肥施用折纯量(万吨),641.94,627.42,617.71,605.13,586.44,564.30,545.20,533.62,509.75,489.45,467.29,438.01,422.37,399.57,376.50,365.64,345.70,322.00,289.60,268.50,234.80,212.30,196.00,173.90,147.90,120.50,101.20,91.90,77.40,80.40,69.40,58.40,,,34.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
农用复合肥施用折纯量(万吨),2115.81,2057.48,1989.97,1895.09,1798.50,1698.70,1608.60,1502.98,1385.85,1303.18,1204.00,1109.83,1040.35,983.69,917.87,880.03,822.00,798.10,734.70,670.80,600.60,529.40,462.40,405.50,341.60,280.90,241.20,208.70,180.80,179.60,126.50,86.20,,,27.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乡村办水电站个数(个),47073.00,46849.00,45799.00,45151.00,44815.00,44430.00,44433.00,27664.00,27493.00,26726.00,27115.00,26696.00,27633.00,29183.00,29962.00,31678.00,33185.00,36117.00,37743.00,40699.00,48722.00,45153.00,48082.00,49644.00,52387.00,50862.00,51558.00,51978.00,54136.00,55754.00,60062.00,62328.00,66256.00,74017.00,80319.00,83224.00,82387.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乡村办水电站装机容量(万千瓦),7322.00,7119.00,6568.61,6212.30,5924.00,5116.70,5127.44,1366.60,1243.00,1099.20,993.80,862.30,812.20,896.60,698.50,664.10,634.80,562.50,533.70,519.50,503.60,481.90,478.70,456.88,428.80,416.80,461.10,394.10,387.90,380.20,361.50,346.30,353.00,336.00,304.10,276.30,228.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
农村用电量(亿千瓦小时),8884.45,8549.52,7508.46,7139.62,6632.35,6104.44,5713.15,5509.90,4895.80,4375.70,3933.00,3432.90,2993.40,2610.80,2421.30,2173.40,2042.10,1980.10,1812.70,1655.70,1473.90,1244.90,1106.90,963.20,844.50,790.50,712.00,658.80,586.70,508.90,464.00,435.20,396.90,369.90,320.80,282.70,253.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：1.2008年起乡村办水电站统计口径变更为农村水电，1978-2007年历史数据为乡村办水电站口径。农村水电是指装机容量5万千瓦及以下水电站和配套电网。
　　　2.2008年开始全国数据中含有水利部直属数据。
数据来源：国家统计局
