数据库：年度数据
时间：最近20年
指标,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
废水排放总量(万吨),7161750.53,6954432.70,6847612.14,6591922.44,6172562.00,5890877.25,5716801.00,5568494.16,5144802.00,5245089.00,4824094.00,,,,,,,,,
化学需氧量排放量(万吨),2294.59,2352.70,2424.00,2499.86,1238.10,1277.50,1320.70,1381.80,1428.20,1414.20,1339.18,,,,,,,,,
氨氮排放量(万吨),238.53,245.66,253.59,260.44,120.29,122.61,126.97,132.34,141.33,149.78,133.01,,,,,,,,,
总氮排放量(万吨),456.14,448.10,451.37,447.08,,,,,,,,,,,,,,,,
总磷排放量(万吨),53.45,48.73,48.88,55.37,,,,,,,,,,,,,,,,
石油类排放量(吨),16203.64,18385.35,17493.88,21012.09,,,,,,,,,,,,,,,,
挥发酚排放量(吨),1378.43,1277.33,1501.31,2430.57,,,,,,,,,,,,,,,,
铅排放量(千克),73184.74,76111.97,99358.81,155242.00,,,,,,,,,,,,,,,,
汞排放量(千克),745.91,916.52,1223.44,2829.15,,,,,,,,,,,,,,,,
镉排放量(千克),17251.10,18435.72,27249.89,35898.98,,,,,,,,,,,,,,,,
总铬排放量(千克),132797.43,163117.68,190079.08,293166.34,,,,,,,,,,,,,,,,
砷排放量(千克),109729.85,112230.03,128493.75,146615.97,,,,,,,,,,,,,,,,
六价铬排放量(千克),34925.33,58291.45,70533.60,106395.37,,,,,,,,,,,,,,,,
数据来源：国家统计局
