数据库：年度数据
时间：最近20年
指标,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
供水总量(亿立方米),6094.88,6183.45,6141.80,6107.20,6021.99,5965.15,5909.95,5818.67,5794.97,5632.98,5547.80,,,,,,,,,
地表水供水总量(亿立方米),4920.46,5007.29,4963.02,4953.30,4881.57,4839.47,4796.42,4723.90,4706.80,4572.19,4504.20,,,,,,,,,
地下水供水总量(亿立方米),1116.94,1126.22,1134.22,1109.10,1107.31,1094.52,1084.79,1069.06,1065.52,1038.83,1026.40,,,,,,,,,
其他供水总量(亿立方米),57.46,49.94,44.55,44.80,33.12,31.16,28.74,25.70,22.70,21.96,17.20,,,,,,,,,
用水总量(亿立方米),6094.86,6183.45,6141.80,6107.20,6021.99,5965.15,5909.95,5818.67,5794.97,5632.98,5547.80,,,,,,,,,
农业用水总量(亿立方米),3868.98,3921.52,3880.30,3743.60,3689.14,3723.11,3663.46,3599.51,3664.45,3580.00,3585.70,,,,,,,,,
工业用水总量(亿立方米),1356.10,1406.40,1423.88,1461.80,1447.30,1390.90,1397.08,1403.04,1343.76,1285.20,1228.90,,,,,,,,,
生活用水总量(亿立方米),766.58,750.10,728.82,789.90,765.83,748.17,729.25,710.39,693.76,675.10,651.20,,,,,,,,,
生态用水总量(亿立方米),103.20,105.38,108.77,111.90,119.77,102.96,120.16,105.73,93.00,92.68,82.00,,,,,,,,,
人均用水量(立方米/人),446.75,455.54,454.71,454.40,450.17,448.04,446.15,441.52,442.02,432.07,428.00,,,,,,,,,
注：2006年以前年份人均资源量类指标按城市人口计算。2006年起修改为按城区人口与城区暂住人口之和计算，以公安部门的户籍统计和暂住人口统计为准。
数据来源：国家统计局
