数据库：年度数据
时间：最近20年
指标,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
电力可供量(亿千瓦小时),,54204.1,49767.7,47002.7,41936.5,37032.7,34540.8,32712.4,28588.4,24940.8,21972.3,19032.2,16466.0,14724.1,13472.7,,,,,
电力生产量(亿千瓦小时),,54316.4,49875.5,47130.2,42071.6,37146.5,34668.8,32815.5,28657.3,25002.6,22033.1,19105.8,16540.0,14808.0,13556.0,,,,,
水电生产电力量(亿千瓦小时),,9202.9,8721.1,6989.5,7221.7,6156.4,5851.9,4852.6,4357.9,3970.2,3535.4,2836.8,2879.7,2774.3,2224.1,,,,,
火电生产电力量(亿千瓦小时),,42470.1,38928.1,38337.0,33319.3,29827.8,27900.8,27229.3,23696.0,20473.4,17955.9,15803.6,13381.4,11834.3,11141.9,,,,,
核电生产电力量(亿千瓦小时),,1116.1,973.9,863.5,738.8,701.3,683.9,621.3,548.4,530.9,504.7,433.4,251.3,174.7,167.4,,,,,
风电生产电力量(亿千瓦小时),,1412.0,959.8,703.3,446.2,,,,,,,,,,,,,,,
电力进口量(亿千瓦小时),,74.4,68.7,65.6,55.5,60.1,38.4,42.5,53.9,50.1,34.0,29.8,23.0,18.0,15.5,,,,,
电力出口量(亿千瓦小时),,186.7,176.5,193.1,190.6,173.9,166.4,145.7,122.7,111.9,94.8,103.4,97.0,101.9,98.8,,,,,
电力能源消费总量(亿千瓦小时),,54203.4,49762.6,47000.9,41934.5,37032.2,34541.4,32711.8,28588.0,24940.3,21971.4,19031.6,16465.5,14723.5,13472.4,,,,,
农、林、牧、渔、水利业电力消费总量(亿千瓦小时),,1026.9,1012.6,1012.9,976.5,939.9,887.1,879.0,827.0,776.3,768.9,693.2,606.2,582.4,533.0,,,,,
工业电力消费总量(亿千瓦小时),,39236.9,36232.2,34691.6,30871.8,26854.5,25388.6,24290.8,21267.7,18521.7,16424.3,14169.7,12402.2,10944.7,10004.6,,,,,
建筑业电力消费总量(亿千瓦小时),,675.1,608.4,571.8,483.2,421.9,367.3,309.0,271.0,233.9,202.1,179.8,154.1,154.9,159.8,,,,,
交通运输、仓储和邮政业电力消费总量(亿千瓦小时),,1000.9,915.4,848.4,734.5,617.0,571.8,531.9,467.4,430.3,449.6,406.9,303.0,309.3,281.2,,,,,
批发、零售业和住宿、餐饮业电力消费总量(亿千瓦小时),,1876.9,1691.5,1503.1,1292.0,1136.8,1017.4,929.8,847.3,752.3,705.4,613.0,500.0,459.9,418.7,,,,,
其他行业电力消费总量(亿千瓦小时),,3397.6,3083.6,2753.1,2451.8,2189.9,1913.0,1708.6,1555.9,1340.9,1036.6,911.0,728.5,663.1,623.2,,,,,
生活消费电力总量(亿千瓦小时),,6989.2,6219.0,5620.1,5124.6,4872.2,4396.1,4062.7,3351.6,2884.8,2384.5,2058.0,1771.4,1609.2,1452.0,,,,,
电力终端消费量(亿千瓦小时),,51062.7,46866.5,44300.2,39366.3,34773.9,32403.5,30650.1,26729.1,23233.8,20550.8,17770.9,15296.8,13690.0,12535.7,,,,,
工业终端电力消费量(亿千瓦小时),,36096.2,33336.1,31990.9,28303.5,24596.3,23250.8,22229.1,19408.9,16815.2,15003.7,12909.0,11233.5,9911.2,9067.9,,,,,
输配电损失量(亿千瓦小时),,3140.7,2896.2,2700.7,2568.2,2258.2,2137.9,2061.7,1858.8,1706.5,1420.6,1260.7,1168.7,1033.5,936.7,,,,,
数据来源：国家统计局
